include,【動】～を含む
private,【形】内密の、私用の
further,【形】さらに進んだ 【副】さらに
several,【形】いくつかの
potential,【形】潜在的な 【名】潜在的な
legitimate,【形】正規の
ongoing,【形】進行中の
current,【形】現在の、最新の
federal,【形】連邦の
internal,【形】内部の
external,【形】外部の
significant,【形】著しい、重要な
corporate,【形】法人の、企業の
previous,【形】先の、以前の
certain,【形】ある特定の、確かな
specific,【形】特定の、明白な
aware,【形】～を知っている
initial,【形】最初の
medical,【形】医療の
suspicious,【形】疑わしい、不審な
cumulative,【形】累積の
former,【形】前の、先の
arbitrary,【形】任意の
massive,【形】大規模な
particular,【形】特に、特定の
numerous,【形】多数の
responsible,【形】～の原因である、責任がある
senior,【形】上級の
sophisticated,【形】洗練された
legal,【形】法的な、法曹業界の、合法の
known,【形】既知の
entire,【形】全体の、完全な
FALSE,【形】偽の、間違った
severe,【形】深刻な
confidential,【形】機密の
immediate,【形】即時の、即座の
typical,【形】典型的な
manual,【形】手動の 【名】マニュアル
according,【副】～によれば
nearly,【副】ほとんど
increasingly,【副】ますます
approximately,【副】おおよそ
rather,【副】～よりむしろ
unfortunately,【副】不運なことに
therefore,【副】したがって
roughly,【副】だいたい
reportedly,【副】伝えられるところによれば
